device=cpu
step=0 max_u=2.8000e+00 c_mean=3.3778e-02 c_y=3.3778e-02 c_m=0.0000e+00 g_mean=6.7555e-05 p_mean=0.0338 tgf_mean=0.1041 chemo_mean=0.0037 smad_mean=0.0250 erk_mean=0.0944 infl_mean=0.0558 scar_mean=0.0000 myo_frac=0.0000 a_align_x=0.6285 ac_align_x=0.6285 model=linear
step=10 max_u=2.8000e+00 c_mean=6.6961e-01 c_y=6.4067e-01 c_m=2.8939e-02 g_mean=6.3170e-03 p_mean=0.4648 tgf_mean=1.0000 chemo_mean=0.0349 smad_mean=0.6988 erk_mean=0.5120 infl_mean=0.0395 scar_mean=0.0008 myo_frac=0.8750 a_align_x=0.6297 ac_align_x=0.6318 model=linear
step=20 max_u=2.8000e+00 c_mean=1.7607e+00 c_y=1.6028e+00 c_m=1.5791e-01 g_mean=3.1593e-02 p_mean=0.5353 tgf_mean=1.0000 chemo_mean=0.0586 smad_mean=0.7784 erk_mean=0.5668 infl_mean=0.0279 scar_mean=0.0025 myo_frac=0.9875 a_align_x=0.6338 ac_align_x=0.6420 model=linear
step=30 max_u=2.8000e+00 c_mean=2.8038e+00 c_y=2.4124e+00 c_m=3.9137e-01 g_mean=7.7865e-02 p_mean=0.5451 tgf_mean=1.0000 chemo_mean=0.0766 smad_mean=0.7807 erk_mean=0.5725 infl_mean=0.0198 scar_mean=0.0048 myo_frac=1.0000 a_align_x=0.6405 ac_align_x=0.6554 model=linear
step=40 max_u=2.8000e+00 c_mean=3.8022e+00 c_y=3.0919e+00 c_m=7.1029e-01 g_mean=1.4394e-01 p_mean=0.5483 tgf_mean=1.0000 chemo_mean=0.0902 smad_mean=0.7811 erk_mean=0.5744 infl_mean=0.0140 scar_mean=0.0072 myo_frac=1.0000 a_align_x=0.6483 ac_align_x=0.6736 model=linear
step=50 max_u=2.8000e+00 c_mean=4.7665e+00 c_y=3.6673e+00 c_m=1.0992e+00 g_mean=2.2882e-01 p_mean=0.5497 tgf_mean=1.0000 chemo_mean=0.1005 smad_mean=0.7813 erk_mean=0.5756 infl_mean=0.0099 scar_mean=0.0096 myo_frac=1.0000 a_align_x=0.6571 ac_align_x=0.6960 model=linear
step=60 max_u=2.8000e+00 c_mean=5.7082e+00 c_y=4.1621e+00 c_m=1.5461e+00 g_mean=3.3182e-01 p_mean=0.5504 tgf_mean=1.0000 chemo_mean=0.1085 smad_mean=0.7813 erk_mean=0.5765 infl_mean=0.0070 scar_mean=0.0118 myo_frac=0.9750 a_align_x=0.6678 ac_align_x=0.7210 model=linear
step=70 max_u=2.8000e+00 c_mean=6.6293e+00 c_y=4.5884e+00 c_m=2.0409e+00 g_mean=4.5230e-01 p_mean=0.5508 tgf_mean=1.0000 chemo_mean=0.1144 smad_mean=0.7814 erk_mean=0.5772 infl_mean=0.0050 scar_mean=0.0139 myo_frac=1.0000 a_align_x=0.6805 ac_align_x=0.7451 model=linear
step=80 max_u=2.8000e+00 c_mean=7.5313e+00 c_y=4.9558e+00 c_m=2.5755e+00 g_mean=5.8973e-01 p_mean=0.5510 tgf_mean=1.0000 chemo_mean=0.1188 smad_mean=0.7814 erk_mean=0.5778 infl_mean=0.0035 scar_mean=0.0158 myo_frac=1.0000 a_align_x=0.6947 ac_align_x=0.7698 model=linear
step=90 max_u=2.8000e+00 c_mean=8.3994e+00 c_y=5.2576e+00 c_m=3.1418e+00 g_mean=7.4336e-01 p_mean=0.5511 tgf_mean=1.0000 chemo_mean=0.1221 smad_mean=0.7814 erk_mean=0.5781 infl_mean=0.0025 scar_mean=0.0174 myo_frac=0.9625 a_align_x=0.7093 ac_align_x=0.7946 model=linear
step=100 max_u=2.8000e+00 c_mean=9.2558e+00 c_y=5.5231e+00 c_m=3.7328e+00 g_mean=9.1260e-01 p_mean=0.5512 tgf_mean=1.0000 chemo_mean=0.1245 smad_mean=0.7814 erk_mean=0.5784 infl_mean=0.0018 scar_mean=0.0189 myo_frac=1.0000 a_align_x=0.7253 ac_align_x=0.8192 model=linear
