device=cpu
step=0 max_u=2.8000e+00 c_mean=3.3778e-02 c_y=3.3778e-02 c_m=0.0000e+00 g_mean=6.7555e-05 p_mean=0.0338 tgf_mean=0.1041 chemo_mean=0.0037 smad_mean=0.0250 erk_mean=0.0944 infl_mean=0.0558 scar_mean=0.0000 myo_frac=0.0000 a_align_x=0.6285 ac_align_x=0.6285 model=linear
step=10 max_u=2.8000e+00 c_mean=6.6961e-01 c_y=6.4067e-01 c_m=2.8939e-02 g_mean=6.3171e-03 p_mean=0.4648 tgf_mean=1.0000 chemo_mean=0.0349 smad_mean=0.6988 erk_mean=0.5120 infl_mean=0.0395 scar_mean=0.0008 myo_frac=0.8750 a_align_x=0.6297 ac_align_x=0.6318 model=linear
step=20 max_u=2.8000e+00 c_mean=1.7607e+00 c_y=1.6028e+00 c_m=1.5791e-01 g_mean=3.1593e-02 p_mean=0.5353 tgf_mean=1.0000 chemo_mean=0.0586 smad_mean=0.7784 erk_mean=0.5668 infl_mean=0.0279 scar_mean=0.0025 myo_frac=0.9875 a_align_x=0.6338 ac_align_x=0.6420 model=linear
step=30 max_u=2.8000e+00 c_mean=2.8036e+00 c_y=2.4122e+00 c_m=3.9138e-01 g_mean=7.7867e-02 p_mean=0.5451 tgf_mean=1.0000 chemo_mean=0.0766 smad_mean=0.7807 erk_mean=0.5725 infl_mean=0.0198 scar_mean=0.0048 myo_frac=1.0000 a_align_x=0.6405 ac_align_x=0.6554 model=linear
step=40 max_u=2.8000e+00 c_mean=3.8010e+00 c_y=3.0907e+00 c_m=7.1025e-01 g_mean=1.4393e-01 p_mean=0.5483 tgf_mean=1.0000 chemo_mean=0.0902 smad_mean=0.7811 erk_mean=0.5744 infl_mean=0.0140 scar_mean=0.0072 myo_frac=1.0000 a_align_x=0.6483 ac_align_x=0.6736 model=linear
step=50 max_u=2.8000e+00 c_mean=4.7634e+00 c_y=3.6645e+00 c_m=1.0989e+00 g_mean=2.2877e-01 p_mean=0.5496 tgf_mean=1.0000 chemo_mean=0.1005 smad_mean=0.7813 erk_mean=0.5756 infl_mean=0.0099 scar_mean=0.0096 myo_frac=1.0000 a_align_x=0.6571 ac_align_x=0.6960 model=linear
step=60 max_u=2.8000e+00 c_mean=5.7038e+00 c_y=4.1584e+00 c_m=1.5454e+00 g_mean=3.3169e-01 p_mean=0.5504 tgf_mean=1.0000 chemo_mean=0.1085 smad_mean=0.7813 erk_mean=0.5765 infl_mean=0.0070 scar_mean=0.0118 myo_frac=0.9750 a_align_x=0.6678 ac_align_x=0.7210 model=linear
step=70 max_u=2.8000e+00 c_mean=6.6247e+00 c_y=4.5849e+00 c_m=2.0398e+00 g_mean=4.5208e-01 p_mean=0.5508 tgf_mean=1.0000 chemo_mean=0.1144 smad_mean=0.7814 erk_mean=0.5772 infl_mean=0.0050 scar_mean=0.0139 myo_frac=1.0000 a_align_x=0.6805 ac_align_x=0.7451 model=linear
step=80 max_u=2.8000e+00 c_mean=7.5272e+00 c_y=4.9531e+00 c_m=2.5741e+00 g_mean=5.8943e-01 p_mean=0.5510 tgf_mean=1.0000 chemo_mean=0.1188 smad_mean=0.7814 erk_mean=0.5778 infl_mean=0.0035 scar_mean=0.0158 myo_frac=1.0000 a_align_x=0.6947 ac_align_x=0.7698 model=linear
step=90 max_u=2.8000e+00 c_mean=8.3957e+00 c_y=5.2557e+00 c_m=3.1401e+00 g_mean=7.4299e-01 p_mean=0.5511 tgf_mean=1.0000 chemo_mean=0.1221 smad_mean=0.7814 erk_mean=0.5781 infl_mean=0.0025 scar_mean=0.0174 myo_frac=0.9625 a_align_x=0.7093 ac_align_x=0.7946 model=linear
step=100 max_u=2.8000e+00 c_mean=9.2491e+00 c_y=5.5184e+00 c_m=3.7308e+00 g_mean=9.1212e-01 p_mean=0.5512 tgf_mean=1.0000 chemo_mean=0.1245 smad_mean=0.7814 erk_mean=0.5784 infl_mean=0.0018 scar_mean=0.0189 myo_frac=1.0000 a_align_x=0.7253 ac_align_x=0.8192 model=linear
