device=cpu
step=0 max_u=2.8000e+00 c_mean=3.3199e-02 c_y=3.3199e-02 c_m=0.0000e+00 g_mean=6.6398e-05 p_mean=0.0338 tgf_mean=0.1041 chemo_mean=0.0037 smad_mean=0.0250 erk_mean=0.0944 infl_mean=0.0558 scar_mean=0.0000 myo_frac=0.0000 a_align_x=0.6285 ac_align_x=0.6285 model=linear
step=10 max_u=2.8000e+00 c_mean=6.6984e-01 c_y=6.4101e-01 c_m=2.8835e-02 g_mean=6.2986e-03 p_mean=0.4646 tgf_mean=1.0000 chemo_mean=0.0347 smad_mean=0.6988 erk_mean=0.5120 infl_mean=0.0395 scar_mean=0.0008 myo_frac=0.9000 a_align_x=0.6296 ac_align_x=0.6316 model=linear
step=20 max_u=2.8000e+00 c_mean=1.7552e+00 c_y=1.5977e+00 c_m=1.5748e-01 g_mean=3.1504e-02 p_mean=0.5350 tgf_mean=1.0000 chemo_mean=0.0579 smad_mean=0.7784 erk_mean=0.5667 infl_mean=0.0279 scar_mean=0.0025 myo_frac=0.9875 a_align_x=0.6334 ac_align_x=0.6412 model=linear
step=30 max_u=2.8000e+00 c_mean=2.8155e+00 c_y=2.4245e+00 c_m=3.9104e-01 g_mean=7.7818e-02 p_mean=0.5449 tgf_mean=1.0000 chemo_mean=0.0756 smad_mean=0.7806 erk_mean=0.5724 infl_mean=0.0198 scar_mean=0.0048 myo_frac=1.0000 a_align_x=0.6398 ac_align_x=0.6539 model=linear
step=40 max_u=2.8000e+00 c_mean=3.8425e+00 c_y=3.1296e+00 c_m=7.1285e-01 g_mean=1.4444e-01 p_mean=0.5479 tgf_mean=1.0000 chemo_mean=0.0890 smad_mean=0.7811 erk_mean=0.5743 infl_mean=0.0140 scar_mean=0.0072 myo_frac=1.0000 a_align_x=0.6471 ac_align_x=0.6718 model=linear
step=50 max_u=2.8000e+00 c_mean=4.8362e+00 c_y=3.7288e+00 c_m=1.1074e+00 g_mean=2.3044e-01 p_mean=0.5491 tgf_mean=1.0000 chemo_mean=0.0990 smad_mean=0.7812 erk_mean=0.5755 infl_mean=0.0099 scar_mean=0.0096 myo_frac=1.0000 a_align_x=0.6553 ac_align_x=0.6935 model=linear
step=60 max_u=2.8000e+00 c_mean=5.8099e+00 c_y=4.2471e+00 c_m=1.5628e+00 g_mean=3.3516e-01 p_mean=0.5496 tgf_mean=1.0000 chemo_mean=0.1065 smad_mean=0.7813 erk_mean=0.5763 infl_mean=0.0070 scar_mean=0.0118 myo_frac=0.9750 a_align_x=0.6660 ac_align_x=0.7184 model=linear
step=70 max_u=2.8000e+00 c_mean=6.7709e+00 c_y=4.7018e+00 c_m=2.0690e+00 g_mean=4.5806e-01 p_mean=0.5499 tgf_mean=1.0000 chemo_mean=0.1120 smad_mean=0.7813 erk_mean=0.5770 infl_mean=0.0050 scar_mean=0.0139 myo_frac=1.0000 a_align_x=0.6786 ac_align_x=0.7433 model=linear
step=80 max_u=2.8000e+00 c_mean=7.7119e+00 c_y=5.0939e+00 c_m=2.6181e+00 g_mean=5.9868e-01 p_mean=0.5500 tgf_mean=1.0000 chemo_mean=0.1160 smad_mean=0.7813 erk_mean=0.5775 infl_mean=0.0035 scar_mean=0.0158 myo_frac=1.0000 a_align_x=0.6918 ac_align_x=0.7701 model=linear
step=90 max_u=2.8000e+00 c_mean=8.6255e+00 c_y=5.4238e+00 c_m=3.2016e+00 g_mean=7.5632e-01 p_mean=0.5500 tgf_mean=1.0000 chemo_mean=0.1187 smad_mean=0.7813 erk_mean=0.5778 infl_mean=0.0025 scar_mean=0.0174 myo_frac=0.9875 a_align_x=0.7064 ac_align_x=0.7954 model=linear
step=100 max_u=2.8000e+00 c_mean=9.5133e+00 c_y=5.7009e+00 c_m=3.8124e+00 g_mean=9.3032e-01 p_mean=0.5500 tgf_mean=1.0000 chemo_mean=0.1204 smad_mean=0.7813 erk_mean=0.5780 infl_mean=0.0018 scar_mean=0.0189 myo_frac=0.9875 a_align_x=0.7218 ac_align_x=0.8192 model=linear
step=110 max_u=2.8000e+00 c_mean=1.0378e+01 c_y=5.9337e+00 c_m=4.4439e+00 g_mean=1.1200e+00 p_mean=0.5500 tgf_mean=1.0000 chemo_mean=0.1211 smad_mean=0.7813 erk_mean=0.5781 infl_mean=0.0012 scar_mean=0.0202 myo_frac=0.9875 a_align_x=0.7369 ac_align_x=0.8397 model=linear
step=120 max_u=2.8000e+00 c_mean=1.1223e+01 c_y=6.1318e+00 c_m=5.0913e+00 g_mean=1.3248e+00 p_mean=0.5499 tgf_mean=1.0000 chemo_mean=0.1213 smad_mean=0.7813 erk_mean=0.5781 infl_mean=0.0009 scar_mean=0.0212 myo_frac=1.0000 a_align_x=0.7526 ac_align_x=0.8582 model=linear
step=130 max_u=2.8000e+00 c_mean=1.2042e+01 c_y=6.2919e+00 c_m=5.7499e+00 g_mean=1.5440e+00 p_mean=0.5498 tgf_mean=1.0000 chemo_mean=0.1211 smad_mean=0.7813 erk_mean=0.5781 infl_mean=0.0006 scar_mean=0.0222 myo_frac=1.0000 a_align_x=0.7693 ac_align_x=0.8737 model=linear
step=140 max_u=2.8000e+00 c_mean=1.2847e+01 c_y=6.4311e+00 c_m=6.4159e+00 g_mean=1.7773e+00 p_mean=0.5497 tgf_mean=1.0000 chemo_mean=0.1206 smad_mean=0.7812 erk_mean=0.5781 infl_mean=0.0004 scar_mean=0.0230 myo_frac=1.0000 a_align_x=0.7848 ac_align_x=0.8888 model=linear
step=150 max_u=2.8000e+00 c_mean=1.3646e+01 c_y=6.5587e+00 c_m=7.0871e+00 g_mean=2.0242e+00 p_mean=0.5495 tgf_mean=1.0000 chemo_mean=0.1197 smad_mean=0.7812 erk_mean=0.5780 infl_mean=0.0003 scar_mean=0.0236 myo_frac=1.0000 a_align_x=0.7999 ac_align_x=0.9021 model=linear
step=160 max_u=2.8000e+00 c_mean=1.4424e+01 c_y=6.6619e+00 c_m=7.7617e+00 g_mean=2.2842e+00 p_mean=0.5493 tgf_mean=1.0000 chemo_mean=0.1186 smad_mean=0.7812 erk_mean=0.5779 infl_mean=0.0002 scar_mean=0.0242 myo_frac=1.0000 a_align_x=0.8140 ac_align_x=0.9131 model=linear
