device=cpu
step=0 max_u=1.0000e+00 c_mean=3.1492e-02 c_y=3.1492e-02 c_m=0.0000e+00 g_mean=6.2984e-05 p_mean=0.0303 tgf_mean=0.1000 chemo_mean=0.0002 smad_mean=0.0240 erk_mean=0.0940 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.0000 a_align_x=0.6285 ac_align_x=0.6285 model=linear
step=10 max_u=1.0000e+00 c_mean=5.7769e-01 c_y=5.5268e-01 c_m=2.5007e-02 g_mean=5.4603e-03 p_mean=0.4423 tgf_mean=1.0000 chemo_mean=0.0022 smad_mean=0.6916 erk_mean=0.5076 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.7875 a_align_x=0.6295 ac_align_x=0.6309 model=linear
step=20 max_u=1.0000e+00 c_mean=1.6342e+00 c_y=1.4923e+00 c_m=1.4194e-01 g_mean=2.8472e-02 p_mean=0.5113 tgf_mean=1.0000 chemo_mean=0.0039 smad_mean=0.7757 erk_mean=0.5614 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.6334 ac_align_x=0.6395 model=linear
step=30 max_u=1.0000e+00 c_mean=2.6586e+00 c_y=2.2965e+00 c_m=3.6213e-01 g_mean=7.2042e-02 p_mean=0.5200 tgf_mean=1.0000 chemo_mean=0.0054 smad_mean=0.7780 erk_mean=0.5655 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6400 ac_align_x=0.6504 model=linear
step=40 max_u=1.0000e+00 c_mean=3.6427e+00 c_y=2.9752e+00 c_m=6.6753e-01 g_mean=1.3510e-01 p_mean=0.5225 tgf_mean=1.0000 chemo_mean=0.0067 smad_mean=0.7784 erk_mean=0.5659 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6476 ac_align_x=0.6649 model=linear
step=50 max_u=1.0000e+00 c_mean=4.5978e+00 c_y=3.5545e+00 c_m=1.0433e+00 g_mean=2.1679e-01 p_mean=0.5233 tgf_mean=1.0000 chemo_mean=0.0078 smad_mean=0.7785 erk_mean=0.5661 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6559 ac_align_x=0.6836 model=linear
step=60 max_u=1.0000e+00 c_mean=5.5363e+00 c_y=4.0581e+00 c_m=1.4782e+00 g_mean=3.1652e-01 p_mean=0.5237 tgf_mean=1.0000 chemo_mean=0.0088 smad_mean=0.7786 erk_mean=0.5662 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9750 a_align_x=0.6669 ac_align_x=0.7039 model=linear
step=70 max_u=1.0000e+00 c_mean=6.4578e+00 c_y=4.4954e+00 c_m=1.9623e+00 g_mean=4.3374e-01 p_mean=0.5239 tgf_mean=1.0000 chemo_mean=0.0096 smad_mean=0.7786 erk_mean=0.5663 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6796 ac_align_x=0.7267 model=linear
step=80 max_u=1.0000e+00 c_mean=7.3622e+00 c_y=4.8744e+00 c_m=2.4878e+00 g_mean=5.6796e-01 p_mean=0.5240 tgf_mean=1.0000 chemo_mean=0.0103 smad_mean=0.7786 erk_mean=0.5664 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6931 ac_align_x=0.7494 model=linear
step=90 max_u=1.0000e+00 c_mean=8.2404e+00 c_y=5.1937e+00 c_m=3.0467e+00 g_mean=7.1856e-01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0109 smad_mean=0.7786 erk_mean=0.5664 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9625 a_align_x=0.7076 ac_align_x=0.7731 model=linear
step=100 max_u=1.0000e+00 c_mean=9.1087e+00 c_y=5.4761e+00 c_m=3.6326e+00 g_mean=8.8501e-01 p_mean=0.5242 tgf_mean=1.0000 chemo_mean=0.0114 smad_mean=0.7786 erk_mean=0.5665 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.7234 ac_align_x=0.7969 model=linear
