device=cpu
step=0 max_u=2.8000e+00 c_mean=3.2597e-02 c_y=3.2597e-02 c_m=0.0000e+00 g_mean=6.5193e-05 p_mean=0.0327 tgf_mean=0.1000 chemo_mean=0.0017 smad_mean=0.0240 erk_mean=0.0941 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.0000 a_align_x=0.6285 ac_align_x=0.6284 model=linear
step=10 max_u=2.8000e+00 c_mean=6.4423e-01 c_y=6.1692e-01 c_m=2.7311e-02 g_mean=5.9858e-03 p_mean=0.4596 tgf_mean=1.0000 chemo_mean=0.0173 smad_mean=0.6951 erk_mean=0.5092 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9000 a_align_x=0.6295 ac_align_x=0.6314 model=linear
step=20 max_u=2.8000e+00 c_mean=1.7231e+00 c_y=1.5702e+00 c_m=1.5291e-01 g_mean=3.0611e-02 p_mean=0.5319 tgf_mean=1.0000 chemo_mean=0.0315 smad_mean=0.7780 erk_mean=0.5641 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.6333 ac_align_x=0.6408 model=linear
step=30 max_u=2.8000e+00 c_mean=2.7777e+00 c_y=2.3945e+00 c_m=3.8316e-01 g_mean=7.6236e-02 p_mean=0.5421 tgf_mean=1.0000 chemo_mean=0.0445 smad_mean=0.7804 erk_mean=0.5694 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6397 ac_align_x=0.6534 model=linear
step=40 max_u=2.8000e+00 c_mean=3.7974e+00 c_y=3.0961e+00 c_m=7.0129e-01 g_mean=1.4204e-01 p_mean=0.5454 tgf_mean=1.0000 chemo_mean=0.0561 smad_mean=0.7809 erk_mean=0.5710 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6471 ac_align_x=0.6710 model=linear
step=50 max_u=2.8000e+00 c_mean=4.7881e+00 c_y=3.6960e+00 c_m=1.0921e+00 g_mean=2.2713e-01 p_mean=0.5469 tgf_mean=1.0000 chemo_mean=0.0661 smad_mean=0.7810 erk_mean=0.5722 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6553 ac_align_x=0.6926 model=linear
step=60 max_u=2.8000e+00 c_mean=5.7593e+00 c_y=4.2155e+00 c_m=1.5438e+00 g_mean=3.3089e-01 p_mean=0.5476 tgf_mean=1.0000 chemo_mean=0.0747 smad_mean=0.7811 erk_mean=0.5731 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9750 a_align_x=0.6660 ac_align_x=0.7174 model=linear
step=70 max_u=2.8000e+00 c_mean=6.7167e+00 c_y=4.6701e+00 c_m=2.0467e+00 g_mean=4.5280e-01 p_mean=0.5481 tgf_mean=1.0000 chemo_mean=0.0819 smad_mean=0.7811 erk_mean=0.5739 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6788 ac_align_x=0.7422 model=linear
step=80 max_u=2.8000e+00 c_mean=7.6566e+00 c_y=5.0642e+00 c_m=2.5924e+00 g_mean=5.9237e-01 p_mean=0.5484 tgf_mean=1.0000 chemo_mean=0.0880 smad_mean=0.7812 erk_mean=0.5745 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.6919 ac_align_x=0.7688 model=linear
step=90 max_u=2.8000e+00 c_mean=8.5695e+00 c_y=5.3965e+00 c_m=3.1730e+00 g_mean=7.4898e-01 p_mean=0.5485 tgf_mean=1.0000 chemo_mean=0.0929 smad_mean=0.7812 erk_mean=0.5750 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.7067 ac_align_x=0.7942 model=linear
step=100 max_u=2.8000e+00 c_mean=9.4565e+00 c_y=5.6754e+00 c_m=3.7810e+00 g_mean=9.2192e-01 p_mean=0.5487 tgf_mean=1.0000 chemo_mean=0.0966 smad_mean=0.7812 erk_mean=0.5754 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.7221 ac_align_x=0.8183 model=linear
step=110 max_u=2.8000e+00 c_mean=1.0320e+01 c_y=5.9097e+00 c_m=4.4101e+00 g_mean=1.1105e+00 p_mean=0.5487 tgf_mean=1.0000 chemo_mean=0.0994 smad_mean=0.7812 erk_mean=0.5758 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.7372 ac_align_x=0.8389 model=linear
step=120 max_u=2.8000e+00 c_mean=1.1164e+01 c_y=6.1088e+00 c_m=5.0552e+00 g_mean=1.3142e+00 p_mean=0.5488 tgf_mean=1.0000 chemo_mean=0.1015 smad_mean=0.7812 erk_mean=0.5760 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.7527 ac_align_x=0.8576 model=linear
step=130 max_u=2.8000e+00 c_mean=1.1982e+01 c_y=6.2706e+00 c_m=5.7117e+00 g_mean=1.5324e+00 p_mean=0.5488 tgf_mean=1.0000 chemo_mean=0.1031 smad_mean=0.7812 erk_mean=0.5762 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.7694 ac_align_x=0.8735 model=linear
step=140 max_u=2.8000e+00 c_mean=1.2787e+01 c_y=6.4110e+00 c_m=6.3758e+00 g_mean=1.7646e+00 p_mean=0.5488 tgf_mean=1.0000 chemo_mean=0.1040 smad_mean=0.7812 erk_mean=0.5763 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.7850 ac_align_x=0.8881 model=linear
step=150 max_u=2.8000e+00 c_mean=1.3586e+01 c_y=6.5408e+00 c_m=7.0454e+00 g_mean=2.0104e+00 p_mean=0.5487 tgf_mean=1.0000 chemo_mean=0.1045 smad_mean=0.7812 erk_mean=0.5764 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8000 ac_align_x=0.9014 model=linear
step=160 max_u=2.8000e+00 c_mean=1.4366e+01 c_y=6.6473e+00 c_m=7.7186e+00 g_mean=2.2695e+00 p_mean=0.5486 tgf_mean=1.0000 chemo_mean=0.1046 smad_mean=0.7812 erk_mean=0.5764 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8141 ac_align_x=0.9130 model=linear
step=170 max_u=2.8000e+00 c_mean=1.5136e+01 c_y=6.7430e+00 c_m=8.3931e+00 g_mean=2.5413e+00 p_mean=0.5484 tgf_mean=1.0000 chemo_mean=0.1044 smad_mean=0.7811 erk_mean=0.5764 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8277 ac_align_x=0.9218 model=linear
step=180 max_u=2.8000e+00 c_mean=1.5893e+01 c_y=6.8257e+00 c_m=9.0677e+00 g_mean=2.8257e+00 p_mean=0.5482 tgf_mean=1.0000 chemo_mean=0.1039 smad_mean=0.7811 erk_mean=0.5764 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8396 ac_align_x=0.9284 model=linear
step=190 max_u=2.8000e+00 c_mean=1.6638e+01 c_y=6.8974e+00 c_m=9.7409e+00 g_mean=3.1222e+00 p_mean=0.5479 tgf_mean=1.0000 chemo_mean=0.1031 smad_mean=0.7811 erk_mean=0.5763 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8508 ac_align_x=0.9363 model=linear
step=200 max_u=2.8000e+00 c_mean=1.7367e+01 c_y=6.9561e+00 c_m=1.0411e+01 g_mean=3.4305e+00 p_mean=0.5476 tgf_mean=1.0000 chemo_mean=0.1020 smad_mean=0.7811 erk_mean=0.5762 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8620 ac_align_x=0.9430 model=linear
step=210 max_u=2.8000e+00 c_mean=1.8087e+01 c_y=7.0098e+00 c_m=1.1077e+01 g_mean=3.7500e+00 p_mean=0.5474 tgf_mean=1.0000 chemo_mean=0.1008 smad_mean=0.7810 erk_mean=0.5761 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8722 ac_align_x=0.9484 model=linear
